Question,Answer,Category
"If a girl was 3 years 0 month old when she joined school and now she is 10 years 2 months old, for how long has she been in school?",7 years 2 months,Application
"If a flight takes off at 2 PM and the duration of the flight is 2 hours, at what time will it land?",4:00 PM,Application
A transportation operates with a constant speed of 658 km/h. How long will it take to travel a distance of 1743 kilometers in minutes?,159,Application
"If a man walks at a speed of 12 km/hr and after every km, he takes a rest for 3 minutes, how many minutes will it take he to cover 7 km?",53,Application
"If a girl takes a leave of 27 days starting from Thursday, 03 August, on which day may the leave end?","Wednesday, 30 August 2023",Application
"If you add 331 days to the date 06-08-2023, what will be the new date?",5/4/2024,Date Computation
"If you subtract 294 days to the date 03-12-1212, what will be the new date?",05-23-1211,Date Computation
"If you add 7 months and 28 days to the date 04-07-1990, what will be the new date?",12/5/1990,Date Computation
"If you add 8 weeks and 4 days to the date 02-19-1923, what will be the new date?",4/20/1923,Date Computation
"If you add 6 months and 8 days to the date 09-27-1690, what will be the new date?",04-04-1691,Date Computation
What is 12:52 PM − 08:15?,4:37 AM,Hour Adjustment (12h)
What is 04:21 PM + 08:35?,12:56 AM,Hour Adjustment (12h)
What is 07:07 PM − 08:11?,10:56 AM,Hour Adjustment (12h)
What is 03:29 AM + 05:42?,9:11 AM,Hour Adjustment (12h)
What is 01:38 PM + 04:51?,6:29 PM,Hour Adjustment (12h)
What is 14:14 + 18:43?,8:57,Hour Adjustment (24h)
What is 11:54 - 10:18?,1:36,Hour Adjustment (24h)
What is 00:06 - 19:49?,4:17,Hour Adjustment (24h)
What is 06:49 - 00:40?,6:09,Hour Adjustment (24h)
What is 04:48 + 23:14?,4:02,Hour Adjustment (24h)
Which month was 5 months before February?,September,Month Shift
Which month comes 2 months after November?,January,Month Shift
Which month was 5 months before March?,October,Month Shift
Which month comes 3 months after May?,August,Month Shift
Which month comes 1 months after June?,July,Month Shift
Subtract 17 minutes 0 seconds from 3 hours 34 minutes.,197 minutes 0 seconds,Time Computation
Convert 453 minutes into hours.,7.55,Time Computation
Convert 30 minutes into hours.,0.5,Time Computation
Add 6 minutes 58 seconds and 55 minutes 22 seconds.,62 minutes 20 seconds,Time Computation
Subtract 9 minutes 45 seconds from 2 hours 29 minutes.,139 minutes 15 seconds,Time Computation
"If it's 03 AM on April 3, 1775 in US/Pacific, what's the date and time in UTC?","10 AM on April 3, 1775",Time Zone Conversion
"If it's 04 AM on August 3, 1809 in US/Mountain, what's the date and time in Europe/London?","10 AM on August 3, 1809",Time Zone Conversion
"If it's 10 PM on August 19, 1263 in Asia/Shanghai, what's the date and time in Asia/Tokyo?","11 PM on August 19, 1263",Time Zone Conversion
"If it's 07 AM on April 3, 1456 in UTC, what's the date and time in Asia/Tokyo?","04 PM on April 3, 1456",Time Zone Conversion
"If it's 06 AM on June 16, 1929 in US/Eastern, what's the date and time in Europe/Paris?","11 AM on June 16, 1929",Time Zone Conversion
In which week of year 1288 does the date 07-04-1288 occur?,Week 27,Week Identification
In which week of year 1399 does the date 03-31-1399 occur?,Week 13,Week Identification
In which week of year 1599 does the date 08-15-1599 occur?,Week 32,Week Identification
In which week of year 2015 does the date 12-16-2015 occur?,Week 51,Week Identification
In which week of year 1446 does the date 01-21-1446 occur?,Week 4,Week Identification
Which year comes 6 years after 1512?,1518,Year Shift
Which year was 15 years before 1879?,1864,Year Shift
Which year comes 1 years after 1225?,1226,Year Shift
Which year comes 3 years after 1456?,1459,Year Shift
Which year was 16 years before 1828?,1812,Year Shift
